project_id,site_location,latitude,longitude
ACR1003,"Penobscot, Piscataquis and Somerset counties, Maine",,
ACR1006,Yuba and Butte County,39.1452732,-121.6324215
ACR1015,Mississippi Alluvial Plain,30.9,-91.55
ACR1016,Arkansas,35.2048883,-92.4479108
ACR1019,Northeastern USA,,
ACR1024,Central Mississippi,30.881299,-88.6541933
ACR1025,Klamath and Lake Counties,,
ACR1026,Klamath and Lake Counties,,
ACR1027,Klamath and Lake Counties,,
ACR1028,Klamath and Lake Counties,,
ACR1029,Flathead County,48.3840879,-113.972144
ACR1030,"Mississippi, US",36.837087,-89.3336141
ACR1031,Burnett County,45.8652437,-92.2673161
ACR1037,"15 miles SE of Heppner, Oreogn",,
ACR1052,"Aroostook, Franklin, Oxford, Piscataquis, and Somerset Counties",,
ACR1053,Dayville,44.4682007,-119.53581
ACR1054,Clallam County,47.9998383,-123.7373472
ACR1055,Clallam County,47.9998383,-123.7373472
ACR1056,Jefferson County,47.7325289,-123.6328565
ACR1057,Clallam County,47.9998383,-123.7373472
ACR1058,"Riddle, OR",42.950951,-123.364233
ACR1063,Conway,35.0891932,-92.4398402
ACR1070,Michigan/Wisconsin,44.8302366,-87.3825207
ACR1071,Northern New York,40.7566267,-73.8762016
ACR1073,Conway,35.0891932,-92.4398402
ACR1074,Conway,35.0891932,-92.4398402
ACR1119,Eastern North Carolina,38.8869517,-76.996806
ACR1120,Southeast Oklahoma,36.7403269,-95.9338839
ACR1121,Coastal Georgia,34.6968173,-84.7389791
ACR1135,CONWAY,35.0891932,-92.4398402
ACR1136,CONWAY,35.0891932,-92.4398402
ACR1137,CONWAY,35.0891932,-92.4398402
ACR1139,Conway,35.0891932,-92.4398402
ACR1141,Oregon and Washington,47.6411586,-117.4668437
ACR1142,Olympic Peninsula - Clallam and Jefferson counties,47.6035114,-123.6797334
ACR1143,"Coos Bay, Oregon",43.3678937,-124.2174647
ACR1144,Dedham,44.6917397,-68.6619754
ACR1175,Crook County,44.1460291,-120.3839476
ACR1177,Quinault Indian Reservation,47.403951,-124.1318693
ACR1186,Georgia,32.3293809,-83.1137366
ACR1191,Montgomery,44.8775443,-72.6080193
ACR1193,"Tazewell County, VA and McDowell County, WV",,
ACR1198,Reed Plantation,45.7236694,-68.1422413
ACR1206,"Cattaraugus, Cayuga, Erie, Lewis, Livingston, Madison, Monroe, Oneida, Ontario, Otsego, Rensselaer, Schuyler, Steuben, Washington, Yates, Allegany, Cattaraugus, Chautauqua, Cortland, Delaware, Essex, ",,
ACR1208,"Marquette, Michigan",46.4481521,-87.6305899
ACR1211,SE Arkansas,35.9039782,-91.6750779
ACR1212,Arkansas,35.2048883,-92.4479108
ACR1213,Mississippi,32.9715285,-89.7348497
ACR1214,Alabama,33.2588817,-86.8295337
ACR1220,Midwest USA,,
ACR1229,Makah Reservation,48.325644,-124.6088334
ACR1233,"Florence County, Wisconsin",45.8379973,-88.3902943
ACR173,Mendocino County,39.3176491,-123.4126399
ACR174,Upper Peninsula MI,46.5436104,-87.3962884
ACR182,Mendocino County,39.3176491,-123.4126399
ACR189,5 miles west of Willow Creek,,
ACR192,Murrell's Inlet,33.5523743,-79.0454859
ACR199,Coos County,44.698627,-71.3768039
ACR200,6 miles northeast of Point Arena CA,,
ACR202,"Forest, Florence, and Marienette Counties in Wisconsin",,
ACR209,Mississippi & Alabama,33.551084,-86.5609066
ACR210,"Marquette County, Michigan",46.4481521,-87.6305899
ACR211,White River,33.745707,-110.104466
ACR212,70mile radius of Grand Rapids,,
ACR237,CA,,
ACR247,Owls Head,44.7344929,-74.1687669
ACR248,"Wise, Dickenson, Russell, and Buchannan Counties",,
ACR249,"Wyoming, McDowell, Mingo, Logan, and Raleigh Counties in West Virginia and Pike County in Kentucky",,
ACR250,Mendocino and Sonoma Counties,,
ACR251,Glasscock Island,31.4085036,-91.5534527
ACR255,Nespelem,48.1671004,-118.974747
ACR256,The Tennessee River Gorge,,
ACR257,Montgomery County,30.301949,-95.5065944
ACR260,Warm Springs OR,44.7628855,-121.2595919
ACR262,Mendocino County,39.3176491,-123.4126399
ACR267,West Virginia,38.4758406,-80.8408415
ACR272,10 miles southeast of the city of Astoria,,
ACR273,Proximity of Klamath Falls,,
ACR274,Proximity of Klamath Falls,,
ACR276,Horner,39.0006516,-80.3825877
ACR277,Pineville,36.7620301,-83.6949176
ACR278,Harlan,36.8411336,-83.22678
ACR279,Wise,,
ACR280,Logan,37.8024603,-81.9284776
ACR281,Spooner,45.8267729,-91.8882375
ACR282,"Humboldt and Del Norte County, California",,
ACR284,"Berkshire, Hampshire, Franklin, Worcester Counties in Commonwealth of Massachusetts",,
ACR286,"Harlan, Leslie, Clay, Perry, Letcher, Knott, & Breathitt Counties",,
ACR288,Forrest and Perry Counties,,
ACR289,Monroe,31.5593935,-87.3781004
ACR290,Wartburg,36.1048089,-84.5973031
ACR291,Benezette,41.3167275,-78.386405
ACR292,Coastal Mendocino County,38.9347122,-123.7200979
ACR293,"Carrol, Belknap, Merrimack, & Grafton Counties",,
ACR296,"Poulsbo, Washington",47.7391366,-122.63928
ACR297,"New Boston, Texas",33.4598415,-94.4154787
ACR298,"Weed, California",41.4238018,-122.3847609
ACR299,"Hayward, WI",46.0129676,-91.4848728
ACR300,"Trenton,FL",29.6132942,-82.8176203
ACR301,"Cross City, FL",29.6343977,-83.1251306
ACR302,Fort Apache Indian Reservation,33.8779431,-110.1393034
ACR303,Fort Apache Indian Reservation,33.8779431,-110.1393034
ACR304,White River,33.745707,-110.104466
ACR305,White River,33.745707,-110.104466
ACR306,Elliotsville,45.8667116,-68.6788165
ACR307,Donner Louisiana,29.6957647,-90.9442629
ACR308,White County,35.9245897,-85.4630947
ACR309,Desha County,33.7740219,-91.3110517
ACR368,"Middlebury, Vermont",44.014299,-73.167229
ACR371,Norfolk,41.9899936,-73.1991114
ACR373,Hayward,46.0129676,-91.4848728
ACR374,"White County, Tennessee",35.9245897,-85.4630947
ACR375,"Drehersville, Pennsylvania",40.6425913,-76.017433
ACR376,"Hampden and Tolland Counties, Massachusetts",,
ACR377,"Humboldt County, CA",40.5997415,-123.8997734
ACR378,Humboldt County,40.5997415,-123.8997734
ACR386,"Andover, New Jersey",40.9858998,-74.7421919
ACR389,"Morton, Washington",46.5570542,-122.275171
ACR393,L'Anse,46.756599,-88.452909
ACR394,East Stroudsburg,40.9995386,-75.1812913
ACR395,Upper Peninsula,46.5436104,-87.3962884
ACR396,Wando,32.8855873,-79.759168
ACR398,"Johnson County, Tennessee",36.443004,-81.8434683
ACR406,Houghton and Keweenaw Counties,,
ACR416,International Falls,48.601033,-93.4105904
ACR417,Brookton,45.5297905,-67.7655624
ACR422,Washington County,44.9744397,-67.6287553
ACR423,"Corbett, Oregon",45.5314503,-122.292256
ACR424,Albany,42.6511674,-73.754968
ACR427,Somerset and Aroostook Counties,,
ACR437,West Virginia,38.4758406,-80.8408415
ACR438,"Franklin, Lamoille, and Orleans counties",,
ACR439,"Adams, Pike and Highland counties",,
ACR441,White County,35.9245897,-85.4630947
ACR476,Eastern Kentucky and minor acreage in VA,,
ACR477,"Surroundings of Charleston, WV",,
ACR483,Hillsborough County,27.9184543,-82.3488057
ACR498,Luce,,
ACR505,Jackson County,34.7692447,-85.9867941
ACR506,Upper Peninsula Michigan,46.5436104,-87.3962884
ACR507,Clinton and Schuylkill Counties,,
ACR508,Levy County,29.3008632,-82.7824592
ACR509,Levy County,29.3008632,-82.7824592
ACR518,"Montgomery, VT",44.8775443,-72.6080193
ACR519,"Orleans, Franklin, and Lamoille counties",,
ACR539,"Baker complex is in the vicinity of Concrete, WA and the White River complex is about 25 miles east of Puyallup, WA.",,
ACR549,Lincoln County,45.3265631,-89.7326216
ACR553,St. Martin,30.1811426,-91.6081116
ACR554,Prineville,44.3034887,-120.8463875
ACR555,Fort Defiance,35.7531285,-109.0692094
ACR558,"St. Lawrence, Lewis, Hamilton, and Franklin counties in the state of New York and Caledonia, Windham and Windsor counties in the state of Vermont.",,
ACR562,"Luce and Mackinac County, MI",,
ACR566,Northern Maine,46.6954875,-68.0357646
ACR569,"Upper Peninsula, Michigan",46.5436104,-87.3962884
ACR570,Molalla,45.1473445,-122.577032
ACR571,"Piscataquis County, Maine",45.8358193,-69.2923096
ACR574,Jefferson and Pacific Counties,,
ACR576,"Pierce County, WA",47.0022547,-122.2117983
ACR579,"Anderson, Franklin, Morgan, Scott",,
ACR586,Near Cleveland,41.4843089,-81.7316493
ACR587,"Somerset County, Maine",45.4538403,-70.0997288
ACR588,Northern Maine,46.6954875,-68.0357646
ACR590,"Oconee, Pickens, and Greenville counties",,
ACR595,SE Kentucky,36.9657423,-82.9983893
ACR596,SE Kentucky,36.9657423,-82.9983893
ACR601,Yachats,44.312756,-124.104999
ACR602,Beatty,42.4419561,-121.2709315
ACR603,Corbett,45.5314503,-122.292256
ACR604,Baraga county,46.6354348,-88.3876368
ACR613,Beckley,37.7781702,-81.1881557
ACR614,"Pigeon River Country State Forest, Michigan",45.1855427,-84.4307193
ACR616,"Columbia, Pacific, Klickitat, Skamania, Yakima Counties",,
ACR617,"Aroostook, Washington Counties",,
ACR618,"Blountstown, FL",30.4435293,-85.0451953
ACR628,"Ontonagon, Richland, Lake and St. Louis Counties",,
ACR632,"New York, New Hampshire, Vermont, Maine",,
ACR633,Carroll County,43.8778199,-71.2740836
ACR634,Cloquet,46.7217279,-92.4613669
ACR637,"Baraga, MI",46.6354348,-88.3876368
ACR638,"New Mexico, Colorado",39.6488425,-105.0359822
ACR639,"Orleans, Essex and Caledonia counties, Vermont and Coos county, New Hampshire",,
ACR643,Bayfield County,46.4710241,-91.1983175
ACR647,Baraga County,46.6354348,-88.3876368
ACR653,"Montmorency County, MI",45.0192008,-84.1322903
ACR655,Hyde Park,44.5935986,-72.6170954
ACR664,"Vermont, New Hampshire, Massachusetts",,
ACR665,Ellsworth,44.5414596,-68.4243599
ACR668,"Strafford and Belknap Counties, NH",,
ACR672,Humboldt County,40.5997415,-123.8997734
ACR673,"Luce and Marquette Counties, Michigan",,
ACR677,Iron County,46.2254778,-90.2125304
ACR679,Washburn County,45.8926321,-91.7971652
ACR681,NW Pennsylvania and SW New York State,,
ACR683,"Adams, Scioto, Pike, Highland, and Brown Counties, Ohio",,
ACR684,Rusk County,45.4589749,-91.1240967
ACR685,Iron County,46.2254778,-90.2125304
ACR687,"Hartwood Club, Inc. 195 Baer Road, Forestburgh, NY 12777",,
ACR690,"Michigan; Emmet, Cheboygan, Charlevoix, Otsego, Antrim, Keweenaw, and Houghton counties",43.6211955,-84.6824346
ACR691,Sutton,44.633176,-72.0264149
ACR698,Piscataquis and Penobscot Counties,,
ACR699,"Grant and Wheeler Counties, Oregon",,
ACR701,"Morgan, Roane, Anderson, and Campbell Counties",,
ACR704,New England,43.4572089,-70.3833235
ACR705,"Lewis, Herkimer, and Oneida Counties, New York State",,
ACR709,Oneida County,45.6879163,-89.4779558
ACR716,"Choctaw, MS",33.3569348,-89.2390212
ACR718,Southern West Virginia,37.8463451,-81.9917984
ACR720,"Lemoille, Washington, Caledonia Counties, VT",,
ACR721,Kibby and Skinner Townships of Franklin County,,
ACR722,Northeast Florida,28.7642649,-82.0000495
ACR727,Humboldt County,40.5997415,-123.8997734
ACR732,Etna,,
ACR733,Etna,,
ACR734,Etna,,
ACR735,"Oxford and Cumberland Counties, Maine and Coos County, New Hampshire",,
ACR738,Del Norte County,41.7261767,-123.91328
ACR739,Veronia,,
ACR741,"Sanders and Flathead Counties, Montana",,
ACR745,"Northern Cheyenne Indian Reservation, Montana",45.521315,-106.672082
ACR753,"Flathead County, MT",48.3840879,-113.972144
ACR754,Piscataquis County,45.8358193,-69.2923096
ACR757,"Newton County, Texas",30.8118989,-93.740504
ACR781,"South Carolina, North Carolina",,
ACR782,Browning,48.557743,-113.017258
ACR783,"Sheridan, AR",34.3100971,-92.4013484
ACR785,"Somerset, Penobscot, Oxford, Waldo, Kennebec, and Lincoln Counties, Maine",,
ACR786,"Screven, Hampton, and Jasper Counties, South Carolina",,
ACR790,Southern Cumberland Mountains,,
ACR798,Klamath and Deschutes Counties,,
ACR801,"Ozark Mountains, AR",,
ACR802,Lower Mississippi River Delta,,
ACR803,Tennessee,33.6312194,-91.8487434
ACR804,"Arkansas, Oklahoma",35.3088231,-99.6310051
ACR809,"Campbell and Scott Counties, Tennessee; Bell, Knox and Whitley Counties, Kentucky",,
ACR821,"Arch Cape, Oregon",45.812346,-123.9635791
ACR822,"Coos, Grafton, Belknap, Merrimack, and Strafford counties",,
ACR828,"Upper Peninsula, Michigan",46.5436104,-87.3962884
ACR831,Southeastern USA,,
ACR840,"Somerset County, Maine",45.4538403,-70.0997288
ACR843,"Glades County, Florida",26.9328123,-81.1895983
ACR848,Louisiana,30.8703881,-92.007126
ACR851,Virginia and West Virginia,37.3629952,-81.0452831
ACR852,"Virginia, West Virginia",39.6348398,-79.9542095
ACR855,Louisiana,30.8703881,-92.007126
ACR856,"Kentucky, Tennessee",36.3046892,-87.9611819
ACR858,Michigan,43.6211955,-84.6824346
ACR860,Minnesota,45.9896587,-94.6113288
ACR862,"Perry County, Lewis County,  Overton County, and Fentress County, Tennessee",,
ACR863,West Virginia,38.4758406,-80.8408415
ACR864,West Virginia,38.4758406,-80.8408415
ACR865,Kentucky,37.5726028,-85.1551411
ACR866,West Virginia,38.4758406,-80.8408415
ACR867,West Virginia,38.4758406,-80.8408415
ACR873,"Island 8, Wolf Island Bar, Burnham Island",,
ACR874,"Meridian, MS",32.3643098,-88.703656
ACR878,Southwest Mississippi,47.4669775,-94.8869794
ACR879,Fayetteville,36.0625843,-94.1574328
ACR880,"Ashland County, Wisconsin",46.2062319,-90.6802594
ACR885,Southeast Arkansas,35.6237528,-97.736408
ACR888,"Kalispell, Montana",48.202158,-114.315321
ACR891,Hardy County,39.0040008,-78.8441276
ACR897,Aroostook and Somerset Counties,,
ACR900,"Arkansas, US",34.2902454,-91.3598511
ACR901,Michigan/Wisonsin,,
ACR910,"Aroostook, Penobscot, and Piscataquis Counties",,
ACR912,Conway,35.0891932,-92.4398402
ACR913,Conway,35.0891932,-92.4398402
ACR914,"South-Central Plains, US",,
ACR922,"Fossil, Oregon",44.9980138,-120.215023
ACR954,"Lower Mississippi River Delta, US",,
ACR955,"Ozark Highlands, AR & MO",,
ACR956,"Western Tennessee, US",36.5501234,-87.4002749
ACR958,Hood River County,45.5311636,-121.6475587
ACR963,Humboldt County,40.5997415,-123.8997734
ACR964,Southeast Arkansas,35.6237528,-97.736408
ACR965,Southwest Mississippi,47.4669775,-94.8869794
ACR981,Montana,47.3752671,-109.638757
ACR983,"40935 N Hwy 101, Laytonville",,
ACR990,Jackson County,44.3016847,-90.8085198
CAR1004,Humboldt County,40.5997415,-123.8997734
CAR1006,Siskiyou County,41.6862466,-122.5360121
CAR101,Humboldt County,40.5997415,-123.8997734
CAR1013,Sonoma County,38.5110803,-122.8473388
CAR1015,"Sonoma County, on Skaggs Springs Road 2.5 miles east of Stewarts Point (CA Highway 1).",,
CAR102,Mendocino County,39.3176491,-123.4126399
CAR1028,"Washington County, Grand Lake Stream",,
CAR1032,"Russell, Buchanan and Dickenson Counties; southwestern Virginia",,
CAR1041,Shasta County,40.7965121,-121.9979194
CAR1046,Trinity County,40.6053256,-123.171268
CAR1062,Ozark mountains near shannondale MO,,
CAR1063,Near Grand Lake Stream ME,,
CAR1066,Siskiyou County,41.6862466,-122.5360121
CAR1067,"Humboldt County, CA (near Willow Creek)",,
CAR1070,Humboldt County,40.5997415,-123.8997734
CAR1086,"Calhoun County, Arkansas",33.5556787,-92.5143633
CAR1088,"Near Tupper Lake, New York",,
CAR1090,Shasta County,40.7965121,-121.9979194
CAR1091,Shasta County,40.7965121,-121.9979194
CAR1092,Lassen and Modoc Counties California,,
CAR1094,Ashford,46.7544085,-122.010932
CAR1095,Mendocino County,39.3176491,-123.4126399
CAR1098,Mendocino County,39.3176491,-123.4126399
CAR1099,"Mendocino County, CA",39.3176491,-123.4126399
CAR1100,"Mendocino County, CA",39.3176491,-123.4126399
CAR1102,Napa County,38.4898675,-122.3218414
CAR1103,"Humboldt County, California",40.5997415,-123.8997734
CAR1104,Humboldt County and Trinity County,,
CAR1110,Shasta County - East of Redding,40.7965121,-121.9979194
CAR1111,North east of Oroville Lake,,
CAR1112,Nevada and Sierra Counties West of Bowman Lake,,
CAR1113,In Butte and Tehama Counties nort east of Chico,,
CAR1114,In Butte and Plumas Counties north east of Chico,,
CAR1115,Butte and Plumas Counties in the Feather Falls area,,
CAR1116,In Tuolumne County north east of Sonora,,
CAR1117,in Tehama and Butte counties north east of Chico,,
CAR1118,In Trinity and Shasta Counties west of Redding,,
CAR1119,In Nevada and Sierra Counties north east of Marysville,,
CAR1129,"North of Concord, NH",,
CAR1130,Scott County,36.4380433,-84.5095507
CAR1134,"Near Charleston, SC",32.7869501,-79.9338544
CAR1139,Mendocino County,39.3176491,-123.4126399
CAR1140,"Western Mendocino County, CA",39.2152417,-123.2043821
CAR1141,Humboldt County,40.5997415,-123.8997734
CAR1147,"Russell, Washington, and Tazewell Counties, Virginia",,
CAR1159,"Washington and Russell Counties, Virginia; near Saltville",,
CAR1160,"Russell and Tazewell Counties, Virginia; near Rosedale",,
CAR1161,Penobscot County,45.2930166,-68.5957766
CAR1162,Piscataquis County,45.8358193,-69.2923096
CAR1173,"Madison County, Kentucky; Near Berea",37.7298081,-84.2974735
CAR1174,Mendocino County,39.3176491,-123.4126399
CAR1175,"Frankin, Somerset, Penobscot, Hancock, and Washington Counties",,
CAR1176,Dixie County: Florida,26.365473,-80.084787
CAR1180,Mendocino County,39.3176491,-123.4126399
CAR1181,"Humboldt County, near Garberville",,
CAR1183,"Otero County, New Mexico",32.5059533,-105.8063662
CAR1185,"Logan, Mingo, Wayne, and Lincoln Counties",,
CAR1186,Lincoln County,38.1570776,-82.0671435
CAR1187,Mendocino County,39.3176491,-123.4126399
CAR1188,Mendocino County,39.3176491,-123.4126399
CAR1189,Mendocino County,39.3176491,-123.4126399
CAR1190,Mendocino County,39.3176491,-123.4126399
CAR1191,Mendocino County,39.3176491,-123.4126399
CAR1192,Mendocino County,39.3176491,-123.4126399
CAR1195,Naples,26.1421976,-81.7942944
CAR1196,Augusta,33.4709714,-81.9748429
CAR1197,Warrensburg,43.4966199,-73.776144
CAR1199,Lawrenceville,36.7576469,-77.8469374
CAR1200,Franklin,37.0527719,-79.8813093
CAR1201,Ashby,42.6776715,-71.8198282
CAR1202,Enfield,45.2487549,-68.5658844
CAR1203,Millinocket,45.6487248,-68.6849429
CAR1204,Williamsburg,45.3800501,-69.1158772
CAR1205,Logan and Mingo Counties,,
CAR1206,Logan and Mingo Counties,,
CAR1207,Chester,34.6859896,-81.1545073
CAR1208,"Wayne, Pulaski, McCreary, Harlan, Letcher, Pike, Floyd, Magofinn, Johnson, Morgan, Lawrence, & Martin Counties",,
CAR1209,"Antigo, WI",45.1404664,-89.1524959
CAR1210,"Franklin, VA",37.0527719,-79.8813093
CAR1211,"Buhl, AL",33.2570623,-87.7527902
CAR1212,Waynesboro,31.6749854,-88.6461237
CAR1213,"Franklin, St. Lawrence, & Lewis Counties",,
CAR1214,"Bell, Knox, and Leslie Counties",,
CAR1215,Campbell & Claiborne Counties,,
CAR1216,"Iron County, Wisconsin",46.2254778,-90.2125304
CAR1217,Washington County,44.9744397,-67.6287553
CAR1257,"Near Beckly, WV",,
CAR1297,"Lewis and Clark, Cascade, Meagher, and Powell counties",,
CAR1313,Mendocino and Sonoma Counties,,
CAR1314,Stevens County,48.4249969,-117.8489411
CAR1329,"near Korbel, CA",,
CAR1330,"Monte Rio, Sonoma County",38.4679185,-123.0143728
CAR1331,"Lewis, Greenup,Carter, Elliott, and Lee Counties",,
CAR1332,Missoula County,46.9653891,-113.9232612
CAR1336,"Bibb,Jefferson,Shelby,Tuscaloosa, Walker Counties",,
CAR1339,Humboldt and Del Norte Counties,,
CAR1368,Humboldt County,40.5997415,-123.8997734
CAR1373,"Near Princeton, AL",,
CAR1374,"Near Altamont, TN",,
CAR1378,Butte and Tehama Counties,,
CAR1379,Butte and Tehama Counties,,
CAR1380,Shasta County,40.7965121,-121.9979194
CAR1381,Shasta County,40.7965121,-121.9979194
CAR1382,Butte and Tehama Counties,,
CAR1384,Redding,40.5863563,-122.391675
CAR1385,Redding,40.5863563,-122.391675
CAR1386,Redding,40.5863563,-122.391675
CAR1391,Florence County,45.8379973,-88.3902943
CAR1393,"Bath County, Virginia, near Warm Springs",,
CAR1402,Tehama County,40.1251334,-122.2015529
CAR1403,Shasta and Trinity Counties,,
CAR1404,El Dorado and Amador Counties,,
CAR1405,Calaveras County,38.2558181,-120.4981492
CAR1406,Calaveras County,38.2558181,-120.4981492
CAR1407,Shasta and Tehama Counties,,
CAR1408,Shasta County,40.7965121,-121.9979194
CAR1409,Calaveras County,38.2558181,-120.4981492
CAR1436,Logan and Boone Counties,,
CAR1442,"Trinity, Shasta and Siskiyou Counties; Near Redding",,
CAR1489,Klamath,41.5488075,-124.0600064
CAR1492,"Highsplint, Harlan County",36.8948126,-83.1171143
CAR1554,Humboldt and Mendocino Counties,,
CAR1579,Tuolumne County and Calaveras County,,
CAR1614,"Siskiyou County, CA and Jackson County, OR",,
CAR1655,Mendocino County,39.3176491,-123.4126399
CAR1734,"Burnsville, Braxton County",38.8562069,-80.6548179
CAR1800,"El Dorado and Placer counties near Polluck Pines, CA",,
CAR1822,San Mateo County,37.496904,-122.3330573
CAR1867,Humboldt County,40.5997415,-123.8997734
CAR1913,"Siskiyou County, California near the town of McCloud",,
CAR1968,Humboldt County,40.5997415,-123.8997734
CAR1969,Mendocino County,39.3176491,-123.4126399
CAR2043,"Sonoma County, South of Stewarts Point",,
CAR2047,"Ozark County, MO",36.6467816,-92.4575198
CAR2078,Siskiyou and Shasta County near Mt. Shasta,,
CAR2079,"Butte, Nevada, Placer, Plumas, Sierra, and Yuba Counties",,
CAR2109,Western Washington State,47.4218597,-120.346016
CAR2134,Northern Sonoma and southern Mendocino counties.,,
CAR2136,Trinity County,40.6053256,-123.171268
CAR2151,Mendocino County,39.3176491,-123.4126399
CAR2191,Mendocino and Humboldt Counties,,
CAR2273,Mendocino County,39.3176491,-123.4126399
CAR408,"Mendocino County, CA",39.3176491,-123.4126399
CAR429,Shasta and Siskiyou Counties,,
CAR430,"Comptche, Mendocino County",39.263322,-123.5877647
CAR575,Humboldt County,40.5997415,-123.8997734
CAR582,Scott County,36.4380433,-84.5095507
CAR590,Santa Cruz County,37.050096,-121.99059
CAR645,"Franklin, St. Lawrence, and Lewis County",,
CAR646,"Piscataquis County, Maine; east of Greenville",45.8358193,-69.2923096
CAR648,Calhoun county,33.5556787,-92.5143633
CAR655,"Piscataquis County, Maine",45.8358193,-69.2923096
CAR657,Near Grand Lake Stream,,
CAR658,"Near Charleston, SC",32.7869501,-79.9338544
CAR660,Southern Mendocino County; near Gualala,38.9467254,-123.0915131
CAR661,"Western Mendocino County, near Willits, CA",,
CAR672,"North of Concord, NH",,
CAR681,Penobscot County,45.2930166,-68.5957766
CAR683,"Berkeley, Dorchester and Orangeburg Counties",,
CAR686,Russell & Tazewell Counties; near Rosedale,,
CAR694,Humboldt County,40.5997415,-123.8997734
CAR696,"Russell & Washington Counties, NW of Saltville",,
CAR697,"Russell, Washington, and Tazewell Co. near Tazewel",,
CAR730,Mendocino County,39.3176491,-123.4126399
CAR777,Norhwest Humboldt County,,
CAR780,"Ozark Mountains near Salem, MO",,
CAR935,Humboldt County,40.5997415,-123.8997734
CAR973,Upper Peninsula Michigan,46.5436104,-87.3962884
CAR993,Humboldt County,40.5997415,-123.8997734
